Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
HRTC - 69,Himsuta AC Seater Volvo/Scania 2+2,00:40,09:30,08h 50m,912,31 Seats available,"4.6
62",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 2100720,Ordinary 3+2 Non AC Seater,05:00,14:50,09h 50m,512,37 Seats available,4.1,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 6,Himsuta AC Seater Volvo/Scania 2+2,06:45,16:10,09h 25m,912,27 Seats available,"4.7
56",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 592,A/C Executive (2+3),08:05,18:10,10h 05m,632,41 Seats available,"3.7
15",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 129,Ordinary 3+2 Non AC Seater,08:50,18:40,09h 50m,512,37 Seats available,"3.8
5",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 7,Himsuta AC Seater Volvo/Scania 2+2,09:25,18:30,09h 05m,912,22 Seats available,"4.3
86",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 657,Ordinary 3+2 Non AC Seater,11:00,22:00,11h 00m,512,33 Seats available,"2.7
7",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 515,Ordinary 3+2 Non AC Seater,12:30,22:50,10h 20m,512,37 Seats available,"4.5
4",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 551,A/C Executive (2+3),15:30,01:30,10h 00m,632,42 Seats available,"3.5
9",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 525,Ordinary 3+2 Non AC Seater,16:50,03:00,10h 10m,512,27 Seats available,4.1,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 532,Ordinary 3+2 Non AC Seater,17:59,04:15,10h 16m,512,27 Seats available,"1.5
4",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 93,Himsuta AC Seater Volvo/Scania 2+2,19:35,04:45,09h 10m,912,16 Seats available,"4.5
42",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 301,Ordinary 3+2 Non AC Seater,19:43,05:30,09h 47m,512,27 Seats available,"4.5
4",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 556,Ordinary 3+2 Non AC Seater,20:10,05:45,09h 35m,512,26 Seats available,"4.5
9",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 591,A/C Executive (2+3),21:00,07:20,10h 20m,632,38 Seats available,"3.0
43",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
RSRTC - 192344,Super Luxury Volvo AC Seater Pushback 2+2,03:00,14:00,11h 00m,1117,23 Seats available,3.6,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Bedi Travels,Volvo A/C Semi Sleeper (2+2),23:00,08:00,09h 00m,1769,1 Seat available,"4.8
957",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Zingbus Plus,Bharat Benz A/C Semi Sleeper (2+2),22:35,08:10,09h 35m,1898,20 Seats available,"4.6
492",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:30,08:00,08h 30m,1757,13 Seats available,"4.5
809",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Laxmi holidays,Volvo A/C Semi Sleeper (2+2),23:25,07:45,08h 20m,1757,11 Seats available,"4.5
648",Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Northern Travels,Volvo A/C Semi Sleeper (2+2),21:45,01:30,03h 45m,600,22 Seats available,3.0,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),22:00,03:10,05h 10m,747,31 Seats available,4.5,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
Bedi Travels,Volvo A/C Semi Sleeper (2+2),22:05,02:05,04h 00m,620,15 Seats available,4.8,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
Himalayan Nomad Ktc,Volvo A/C Semi Sleeper (2+2),22:30,02:35,04h 05m,543,35 Seats available,3.8,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
Himalayan Nomad Ktc,Volvo A/C Semi Sleeper (2+2),23:00,03:05,04h 05m,549,35 Seats available,3.8,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
Laxmi holidays,Volvo A/C Semi Sleeper (2+2),20:20,01:15,04h 55m,1044,14 Seats available,"3.3
12",Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
HRTC - 566,Ordinary 3+2 Non AC Seater,02:20,07:30,05h 10m,334,31 Seats available,3.9,Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
HRTC - 401669,Ordinary 3+2 Non AC Seater,10:35,14:40,04h 05m,310,34 Seats available,"3.5
24",Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
HRTC - 9236,A/C Executive (2+3),12:05,16:10,04h 05m,340,36 Seats available,"4.3
175",Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
HRTC - 1515,Ordinary 3+2 Non AC Seater,13:20,20:15,06h 55m,373,37 Seats available,"3.3
7",Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
HRTC - 1529,Ordinary 3+2 Non AC Seater,13:56,19:05,05h 09m,364,37 Seats available,"4.1
8",Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
HRTC - 1516,A/C Executive (2+3),15:00,18:50,03h 50m,340,26 Seats available,"4.1
131",Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
HRTC - 1468,Ordinary 3+2 Non AC Seater,15:30,21:20,05h 50m,302,37 Seats available,3.9,Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
HRTC - 1546,Ordinary 3+2 Non AC Seater,16:25,21:15,04h 50m,334,26 Seats available,"2.5
6",Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
HRTC - 9235,A/C Executive (2+3),16:40,22:00,05h 20m,399,43 Seats available,"4.7
15",Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
HRTC - 401670,Ordinary 3+2 Non AC Seater,18:00,22:00,04h 00m,310,29 Seats available,"3.0
27",Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
HRTC - 1549,Ordinary 3+2 Non AC Seater,18:15,01:00,06h 45m,362,37 Seats available,3.9,Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
Himalayan Nomad Ktc,Volvo A/C Semi Sleeper (2+2),01:25,05:05,03h 40m,630,25 Seats available,3.8,Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
Himalayan Nomad Ktc,Volvo A/C Semi Sleeper (2+2),01:40,05:20,03h 40m,481,24 Seats available,3.8,Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
Laxmi holidays,Volvo A/C Semi Sleeper (2+2),02:00,06:10,04h 10m,499,13 Seats available,"4.3
30",Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),02:00,05:55,03h 55m,580,14 Seats available,"4.6
22",Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),02:15,05:55,03h 40m,719,5 Seats available,"4.7
4",Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
RSRTC - 192348,Super Luxury Volvo AC Seater Pushback 2+2,16:30,02:00,09h 30m,1117,28 Seats available,"2.6
24",Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi
Himachal Pradesh Tourism Development Corporation (HPTDC) - 49524,AC Seater (2+2),20:30,05:30,09h 00m,1000,21 Seats available,4.6,Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi
Bedi Travels,Volvo A/C Semi Sleeper (2+2),21:30,05:30,08h 00m,477,26 Seats available,"4.8
951",Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi
Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),22:00,06:40,08h 40m,630,19 Seats available,"4.6
569",Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi
Zingbus Plus,Bharat Benz A/C Semi Sleeper (2+2),20:30,05:10,08h 40m,563,20 Seats available,"4.6
516",Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),20:30,04:30,08h 00m,569,42 Seats available,"4.5
711",Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi
City Land Travels,Volvo A/C Semi Sleeper (2+2),10:30,19:00,08h 30m,583,29 Seats available,"3.7
201",Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi
Royal Safari India Travels,Bharat Benz A/C Semi Sleeper (2+2),13:00,22:01,09h 01m,665.71,34 Seats available,New,Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi
Laxmi holidays,Volvo A/C Semi Sleeper (2+2),10:30,19:00,08h 30m,569,18 Seats available,"4.3
463",Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi
City Land Travels,Volvo A/C Semi Sleeper (2+2),22:00,05:00,07h 00m,621,28 Seats available,"3.9
275",Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi
HRTC - 6651,Ordinary 3+2 Non AC Seater,04:05,16:30,12h 25m,567,40 Seats available,4.0,Hamirpur (Himachal Pradesh) to Delhi,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-delhi
